1024	     0.028	     0.025	     0.038	     0.037	
2048	     0.134	     0.080	     0.096	     0.059	
4096	     0.124	     0.116	     0.100	     0.133	
8192	     0.164	     0.318	     0.215	     1.172	
16384	     1.146	     0.910	    25.955	     0.546	
32768	     0.860	     1.194	     1.071	     0.742	
65536	     1.979	    68.001	    74.325	     1.916	
131072	     6.458	    87.835	   121.027	     3.352	
262144	     7.117	    12.727	     8.674	     8.763	
524288	    34.263	    20.140	    20.916	    44.807	
1048576	    48.286	   106.328	   262.538	   150.194	
2097152	   105.849	   195.293	   279.322	   476.544	
4194304	   122.824	   223.027	   314.663	   477.208	
8388608	   100.482	   176.009	   270.830	   382.173	
