    1024	   8	       128	     0.033	     1.942
    1024	  16	        64	     0.038	     2.272
    1024	  32	        32	     0.039	     1.957
    1024	  64	        16	     1.926	     3.139
    1024	 128	         8	     0.031	     2.137
    1024	 256	         4	     1.779	     3.266
    1024	 512	         2	     1.714	     2.729
    2048	   8	       256	     0.059	     3.501
    2048	  16	       128	     0.071	     4.351
    2048	  32	        64	     0.064	     3.432
    2048	  64	        32	     3.644	     6.277
    2048	 128	        16	     3.784	     7.454
    2048	 256	         8	     0.076	     4.618
    2048	 512	         4	     0.134	     3.344
    4096	   8	       512	     0.163	     8.799
    4096	  16	       256	     0.176	     9.864
    4096	  32	       128	     0.166	     9.022
    4096	  64	        64	     0.226	     6.435
    4096	 128	        32	     0.278	     9.553
    4096	 256	        16	     7.599	    13.107
    4096	 512	         8	     7.692	    13.149
    8192	   8	      1024	    14.179	    12.662
    8192	  16	       512	     0.354	    16.174
    8192	  32	       256	    14.551	    24.731
    8192	  64	       128	    12.150	    23.676
    8192	 128	        64	    12.497	    25.620
    8192	 256	        32	     0.247	     9.828
    8192	 512	        16	    12.305	    24.255
   16384	   8	      2048	    27.559	    45.042
   16384	  16	      1024	    28.007	    51.401
   16384	  32	       512	    23.149	    46.250
   16384	  64	       256	     0.599	    30.468
   16384	 128	       128	     0.474	    31.312
   16384	 256	        64	    30.285	    48.689
   16384	 512	        32	     0.614	    26.048
   32768	   8	      4096	     0.907	    61.507
   32768	  16	      2048	     1.037	    48.065
   32768	  32	      1024	     0.816	    87.091
   32768	  64	       512	    51.828	    46.862
   32768	 128	       256	     0.976	    99.523
   32768	 256	       128	     0.810	    57.237
   32768	 512	        64	     0.808	    57.971
   65536	   8	      8192	    92.337	   133.271
   65536	  16	      4096	     1.497	    95.988
   65536	  32	      2048	     1.624	   108.728
   65536	  64	      1024	     1.716	   105.917
   65536	 128	       512	     2.291	   108.503
   65536	 256	       256	     1.967	   110.609
   65536	 512	       128	     2.032	   115.533
  131072	   8	     16384	     5.505	   237.665
  131072	  16	      8192	     4.095	   155.115
  131072	  32	      4096	     4.240	   187.380
  131072	  64	      2048	   191.696	   176.528
  131072	 128	      1024	     3.798	   201.649
  131072	 256	       512	     4.465	   192.895
  131072	 512	       256	     3.958	   199.425
  262144	   8	     32768	    14.031	   272.004
  262144	  16	     16384	     8.025	   302.619
  262144	  32	      8192	     8.223	   299.422
  262144	  64	      4096	     8.447	   293.472
  262144	 128	      2048	     9.531	   300.452
  262144	 256	      1024	     8.863	   273.209
  262144	 512	       512	     7.273	   265.395
  524288	   8	     65536	    20.904	   366.315
  524288	  16	     32768	    47.911	   361.765
  524288	  32	     16384	    23.542	   396.212
  524288	  64	      8192	    17.815	   368.180
  524288	 128	      4096	    42.183	   356.113
  524288	 256	      2048	    26.751	   363.647
  524288	 512	      1024	    19.790	   436.634
 1048576	   8	    131072	   149.722	   484.947
 1048576	  16	     65536	   527.121	   660.001
 1048576	  32	     32768	    75.449	   557.086
 1048576	  64	     16384	   531.935	   650.179
 1048576	 128	      8192	   152.976	   660.520
 1048576	 256	      4096	   178.862	   616.085
 1048576	 512	      2048	   105.853	   525.800
 2097152	   8	    262144	   441.204	   547.917
 2097152	  16	    131072	   539.218	   704.688
 2097152	  32	     65536	   491.165	   782.228
 2097152	  64	     32768	   628.737	   792.350
 2097152	 128	     16384	   613.113	   752.747
 2097152	 256	      8192	   598.076	   787.367
 2097152	 512	      4096	   545.104	   672.703
 4194304	   8	    524288	   500.573	   585.899
 4194304	  16	    262144	   563.372	   663.026
 4194304	  32	    131072	   497.073	   724.374
 4194304	  64	     65536	   673.757	   667.776
 4194304	 128	     32768	   488.334	   683.195
 4194304	 256	     16384	   559.670	   662.163
 4194304	 512	      8192	   559.129	   550.650
 8388608	   8	   1048576	   425.937	   486.529
 8388608	  16	    524288	   503.427	   582.411
 8388608	  32	    262144	   586.421	   705.399
 8388608	  64	    131072	   572.035	   744.959
 8388608	 128	     65536	   452.003	   552.600
 8388608	 256	     32768	   491.669	   569.927
 8388608	 512	     16384	   485.318	   535.945
